InventoryID,Glottocode,Dialect,LanguageName,BibTexKey,Filename,Contributor,MetadataComments,PhoibleID
207,kist1241,sodd1242,Soddo,leslau1992soddo,,Elad Eisen,,
208,soma1255,,Somali,saeed1999somali,,Antti Laine,,
209,sout2991,,South Bolivian Quechua,"Bills_etal1969,Lastra1968,Lastra1968,Parker1969",quh_SPA1979_phon.pdf,Steven Moran,,104
210,sout2982,,Southeastern Pomo,Moshinsky1974,pom_SPA1979_phon.pdf,Steven Moran,,89
211,sout2961,,Southern Tiwa,Trager1971,tix_SPA1979_phon.pdf,Steven Moran,,92
212,sout2750,,Southern Yukaghir,maslova2003kolymayukaghir,,Elad Eisen,,
213,sril1245,,Sri Lanka Malay,nordhoff2009srilankamalay,,NA,,
214,stan1306,,Standard Malay,"Verguin1967,MacdonaldSoenyono1967",zsm_SPA1979_phon.pdf,Steven Moran,,32
215,suab1238,,Suabo,devries2004inanwatan,,Einav Levanon,,
216,hula1244,sule1243,Suleimaniya Neo-Aramaic,khan2004sulemaniyya,,KurdistanDB,,
217,sout2808,,Sumayela Ndebele,ndebele1959ziervogel,,Elad Eisen,,
218,sumi1235,,Sumi Naga,teo2012sumi,,Dmitry Nikolaev,,
220,taba1266,,Tabasco Chontal,Keller1959,chf_SPA1979_phon.pdf,Steven Moran,,85
221,sout2697,tabr1242,Tabriz,mokari2017azerbaijani,,Dmitry Nikolaev,,
222,tafi1243,,Tafi,bobuafor2013tafi,,Elad Eisen,,
223,taga1270,,Tagalog,schachter1983tagalog,,Elad Eisen,,
224,bunu1267,taki1251,Takivatan,debusser2009takivatan,,Einav Levanon,,
225,tapi1253,,Tapieté,gonzalez2005tapiete,,Rammie Cahlon,,
226,tari1256,,Tariana,aikhenvald2003tariana,,Elad Eisen,,
227,tata1255,,Tatar,comrie1997tatar,,Dmitry Nikolaev,,
228,taus1251,,Tausug,soderberg2012tausug,,Dmitry Nikolaev,,
229,tauy1241,,Tauya,macdonald2011tauya,,Elad Eisen,,
230,tele1256,,Telefol,Healey1964,tlf_SPA1979_phon.pdf,Steven Moran,,55
231,telu1262,,Telugu,"krishnamurti1985telugu, bhaskararao2017telugu",,Elad Eisen,,
232,thao1240,,Thao,blust2003thao,,Einav Levanon,,
233,ticu1245,,Ticuna,"Anderson1959,Anderson1962",tca_SPA1979_phon.pdf,Steven Moran,,115
